,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
425,ark:/13030/c8k93dqd/,English,"University of California, Davis General Library, University Archives",Campus Sign Program Slides,"University of California, Davis. Library. Dept. of Special Collections",AR-223,95 slides (35 millimeter),,circa 1980-1987,"Contains 95 35mm slides of various campus wayfaring signs including those for buildings, streets, maps, and parking.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,ark:/13030/c8m90b5k/,English,"University of California, Davis Library, University Archives",Library Annual Reports,"University of California, Davis. Library",AR-203,5.8 linear feet,1946-2011,,This collection contains annual reports for the University Library as well as annual reports for Library departments. Library statistics are included in these reports.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,ark:/13030/c8mk6jbb/,English,"University of California, Davis General Library, University Archives",Grounds and Landscape Services Records,"University of California, Davis. Grounds and Landscape Services",AR-197,0.8 linear feet,2006-2008,,"Gounds and Landscape Services designs, plants, builds, and maintains landscapes and landscape structures throughout the UC Davis campus. The collection includes promotional materials and awards related to the UC Davis Olive Oil Program.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,ark:/13030/c8ms3v83/,Collection materials in English.,,Blue and Gold Dairy Club Records,"Blue and Gold Dairy Club (Davis, Calif.)",AR-048,,1920-1958,,"The Blue and Gold Dairy Club, organized in 1920 at the Davis campus, brought together students who were interested in the dairy industry. This small collection contains the club&#39;s correspondence, meeting minutes, and several photographs","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,ark:/13030/c8n303cm/,English,,Visalia (Calif.) Rainfall Log Book,,MC281,,,,"Handwritten annotated ledger of rainfall totals in Visalia, California.",,1877-1914,"Nancawen, L. V. Daggett, Alfred.",1 volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,ark:/13030/c8n87h6q/,English,"University of California, Davis Library, University Archives","Department of Land, Air, and Water Resources (LAWR) Records","University of California, Davis. Department of Land, Air, and Water Resources",AR-094,39.4 linear feet,1906-1985,,"Collection includes correspondence, memos, manuscripts, pamphlets, photographs, slides, research projects, soil maps, and surveys.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,ark:/13030/c8pc32w4/,Collection materials in English.,,"University of Californa, Davis Student Clubs and Organizations Collection","University of California, Davis. Library. Dept of Special Collections",AR-180,1 online resource,1925-2013,,"This small collection, assembled by Special Collections, contains flyers and ephemera related to a selection of student clubs and organizations on the University of California, Davis campus. Also included are links to website captures of several student clubs and organizations.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1 linear foot; 6 online resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,ark:/13030/c8pc37t9/,English,"University of California, Davis Library, University Archives",Baggins End Records,"Baggins End (Davis, Calif.)",AR-049,11.1 linear feet,1972-1997,,"Collection contains meeting announcements and minutes, correspondence, planning documents, photographs, and newspaper clippings relating to the Baggins End student housing community.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,ark:/13030/c8pg1qpk/,English,"University of California, Davis General Library, University Archives",Committee for Arts and Lectures Records,"University of California, Davis. Committee for Arts and Lectures",AR-042,null,1964-2002,,"The Committee for Arts and Lectures (CAL) was responsible for organizing arts events and lectures on the University of California, Davis campus. In 2002, the Mondavi Center for Performing Arts opened and the function of this group was transferred to the Mondavi Center. The collection contains season files including brochures, flyers, and playbills, as well as snapshot photographs, and some posters.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,ark:/13030/c8pk0n9g/,English,"University of California, Davis, UC Davis Library, University Archives",Public Service Research Program Records,"University of California, Davis. Public Service Research Program",AR-199,1 videocassette (VHS),1976-2014,,"The Public Service Research Program (PSRP) is a unit in the UC Davis John Muir Institute of the Environment that fosters science outreach and communication. The collection includes publications, newsletters, hosted conference proceedings, office files, and correspondence related to the programs and operation of the PSRP.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,ark:/13030/c8pn9bv1/,English,"University of California, Davis General Library, University Archives",University Writing Program Records,"University of California, Davis. University Writing Program",AR-222,4 linear feet,1980s-2004,,"The collection includes business operation records, budgets, student handouts, course materials, and general information concerning the teaching of writing courses at UC Davis. Also included are newspaper clippings and recordings of guest speakers and events.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,ark:/13030/c8r212ww/,Collection materials in English.,,Boxing Team Reports,UC Davis Athletics,AR-188,,1929-1956,,"UC Davis fielded a boxing team from 1920-1956. This small collection, which spans the years 1929-1956, contains match reports and student manager&#39;s reports.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,ark:/13030/c8r49shc/,Collection materials in English.,,Student Development Office Records,"University of California, Davis. Student Development Office",AR-162,,1971-1981,,"The Student Development Office provided centralized coordination among related student service programs including the following units: Advising Services, Counseling Center, Housing Office, Learning Assistance Center, Student Special Services and Women&#39;s Resources and Research Center. The collection contains annual reports, meeting minutes, and a department training manual.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,1.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,ark:/13030/c8rj4mq7/,English,"University of California, Davis Library, University Archives",Office of Strategic Communications Records,"University of California, Davis. Strategic Communications",AR-031,66 linear feet,circa 1910-2016,,"The Office of Strategic Communications works collaboratively to communicate the impact and value of UC Davis through innovative storytelling. Core service areas include crisis and issues management, digital communications, marketing, news and media relations, web and interactive communications, and visual communications. The collection contains clipping files for campus news, event and subject files, biographical files, publications produced by the department, as well as materials regarding the 75th anniversary of the campus. Also included are photographs and slides of faculty and staff, sporting events, classroom activities, and special events such as Picnic Day. The collection also includes analog video, mainly masters and edited versions of Newswatch segments.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,ark:/13030/c8s183h0/,Collection materials in English.,,Campus Buildings Collection,,AR-078,,1912-2014,,"This collection, assembled by Special Collections, contains selected information on a number of UC Davis campus buildings. The collection contains programs for some building dedications, drafts of the campus Historic Resources Inventory that was conducted in 1986, as well as minutes for the Building and Campus Development Committee (1955-1959).","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,2 linear feet,,,"University of California, Davis. General Library. Dept. of Special Collections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,ark:/13030/c8s46xf9/,English,"University of California, Davis General Library, University Archives",Alumni Reminiscences Collection,"University of California, Davis. Library. Dept. of Special Collections",AR-140,1 folder,2010,,The collection includes narrative memoirs of UC Davis alumni and a small amount of UC Davis ephemera.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,ark:/13030/c8sb4bjx/,English,"University of California, Davis General Library, University Archives",Graduate School of Management Records,"University of California, Davis. Graduate School of Management",AR-208,2 videocassettes (VHS),1979-2008,,"The UC Davis Graduate School of Management (GSM) was founded in 1981 as the Graduate School of Administration. The GSM offers master&#39;s degree programs in Business Administration, Professional Accountancy, and Business Analytics. The collection includes correspondence, minutes, operational records, course information, and a small number of videos of guest speakers.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
